objekt,omfång,tid,institution,typavhandlingar,anmärkning
Byggnadsföreningen Folkets Hus Hjärtum u p a,fragment,"1933, 1943",ARAB,"stadgar, insamlingslista, festprogram",
Byggna<dsföreningen Folkets Hus i Hjertsjö,fragment,1908,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Folkets Husföreningen Hjälmedal u p a,fragment,1912,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Folkets Park Hjulkvarn,fragment,"1934, 1937",ARAB,"affisch, program","ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Folkets Hus Hjoggböle [Bureå],fragment,1933,ARAB,klipp; historik,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment Västerbottens Folkblad 22/11 1933"
Föreningen Herrljunga Folkpark Furulund,A. fragment  B.,A. 1932-33  B.,A. ARAB  B. Föreningsarkivet i Herrljunga,"A. stadgar, andelsbevis  B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, affischer, övrigt","ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment B. FHP-enkät"
Henåns Byggnadsförening u p a,fragment,1935,ARAB,stadgar,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Borggårds Folkets husförening,,,"I lokalen Borggårds Hus . Hällestad, Finspång, Östergötland","protokoll, räkenskaper, verksamhetsberättelser, ritningar",
Borgholms Folkets husförening,,1930-,I lokalen Folkets Hus i Borgholm,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, övrigt",FHP-enkät
Föreningen Folkets Hus Boxholm,,1899,Boxholms Folkrörelsearkiv,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer",
Brastad Folkets husförening u p a,,,"I lokalen Folkets Hus i Brastad, Lysekil","protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar",
Broakulla Folkets husförening,,,Vissefjärda arkivförening,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer, annat",FHP-enkät
By-Skymnäs Folkets Husförening,,1950-tal och framåt,I lokalen Folkets Hus i By-Skymnäs,"protokoll, räkenskaper, verksamhetsberättelser, affischer",FHP-enkät
"Byggnadsföreningen Enighet u p a [Hylte, Hyltebruk]",,1960-talet-,"I lokalen, men ska flyttas till arkivinstitution i Halmstad.","protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier",FHP-enkät
Byghgnadsföreningen Fästet u p a [Stenshult],,1938-,I lokalen Stenshults Föreningslokal,"protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Byggnadsföreningen Samarbete [Grytgöl],,,Folkrörelsearkivet i Finspång,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser",FHP-enkät
Byggnadsföreningen Haga u p a [Hultsfred],,1921-,Kommunens arkiv,"protokoll, korrespondens, räkenskaper, verksamhetsberätelser, inventarieförteckning, ritningar, fotografier, affischer",
Byggnadsföreningen Jormstugan,,1957-,"I lokalen Jormstugan, Strömsund","protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",FHP-enkät
Byggnadsföreningen Enighet u p a [Bäckhammar],,,I lokalen Folkets Hus Bäckhammar,"protokoll, ritningar",
Föreningen Folkets Hus i Stockholm (1901-1947) AB Folkets Hus i Stockholm 1948,,1897-,"I lokalen City Conference Center, Stockholms Folkets Hus","protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer, föremål m m",FHP-enkät Samlingar även på ARAB
Dalasjö Folkets Hus förening u p a,,,I lokalen Dalasjö Folkets Hus,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotografier,",FHP-enkät
"Emågården, Hultsfred",,,"kommunarkivet, Hultsfred",ritningar,FHP-enkät
Erikslunds Folkets Husförening,,,"I lokalen Folkets Hus i Erikslund, Änge",,
Ersboda Folkets Hus Förening,,1989-,I lokalen Ersboda Folkets Hus,"protokoll, verksamhetsberättelser, korrespondens, räkenskaper, invetarieförteckningar,",FHP-enkät
Folkets Hus och Park u p a Fagersta,,1906-,I lokalen Folkets Park Fagersta,"protokoll, verksamhetsberättelser, ritningar, fotografier",FHP-enkät
Folkets Husföreningen Flen,,,"Kommunens arkiv samt i lokalen Amazon, Folkets Hus i Flen","protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, fotografier, övrigt",FHP-enkät
Fridafors Folkets husförening,,,"I lokalen Folkets Husd Fridafors, Ryd, Tingsryd","protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Fröseke Byggnadsförening u p a,,1945-,"I lokalen Fröseke Folkets Hus, Uppvidinge","protokoll, korrespondens, verksamhetsberättelser, ritningar",FHP-enkät
Fåglaviks Folkets Park,,1945-,okänd,"räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Fårösunds Folkets Husförening,,,Gotlands Fornsal,"protokoll, verksamhetsberättelser, ritningar (1939)",FHP-enkät
Fällfors Byggnadsförening u p a,,1930-,"I lokalen Fällfors Folkets Hus, Skellefteå","protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, övrigt",FHP-enkät
Gemla Folkpark u p a,,1926-,I lokalen Gemla Folkpark,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer",
Stiftelsen Gisleparken,,1976-,I lokalen,"protokoll, korrsepondens, räkenskaper, verksamhetsberättelser, invetarieförteckning, ritningar, fotografier","kommunal stiftelse 1976, FHP-enkät"
Glimåkra Folkets husförening u p a,,,I lokalen Glimåkra Folkets Park,"räkenskaper, verksamhetsberättelser",FHP-enkät
Folkets husföreningen [Gnesta],,1906-,Gnesta kommunarkiv,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer, annat",FHP-enkät. Folkets Husserksamheten upphörde 2000. Huset sålt till kommunen
Gonäs Byggnadsförening,,1914-1964,I lokalen Gonäs Folkets Hus,"verksamhetsberättelser, ritningar, fotografier",FHP-enkät
Byggnadsföreningen Viking u p a Grebo,,1928-,Åtvidabergs kommuns arkiv,"protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Gränums Folkets husförening,okänt,1935-,I lokalen Folkets Hus i Gränum samt på folkrörelsearkivet i Bräkne-Hoby,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, invetarieförteckningar, ritningar",FHP-enkät
Gualöv Folkets husförening,,1985-,I lokalen Gualöv Folkets Hus,protokoll,FHP-enkät
Föreningen Gubbo Folkets Hus u p a,,1904-,I lokalen Gubbo Folkets Hus,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser",FHP-enkät
Guldsmedshyttans Folkets Hus u p a,,,I lokalen,ritningar,FHP-enkät
Aftonstjörnans Kulturförening,,1905-2000,"I lokalen Aftonstjärnans Folkets Hus, Göteborg",fotografier,FHP-enkät
Backa Folkets husförening,,1940-65,Göteborgs stadsarkiv,"protokoll, verkksamhetsberättelser, fotografier, affischer, övrigt",FHP-enkät
"Bergs Arbetares Byggnadsförening, Bergs Folkets Hus [Hallstahammar]",,,I lokalen Bergs Folkets Hus Hallstahammar,protokoll,FHP-enkät
,,,,,
"Folkets Park Kolbäck, Folkets Hus och Park Hallstahammar",,,I lokalen,"protokoll, verksamhetsberättelser, räkenskaper, ritningar, fotografier",FHP-enkät
Folkets Hus Hallunda (f d Norra Botkyrka Folkets Hus och Park),,1986-,I lokalen Folkets Hus Hallunda,"protokoll, korrespondens, verksamhetsberättelser, räkenskaper, inventarieförteckningar, ritningar",FHP-enkät
Hammarkullens Folkets husförening,,1989-,I lokalen Hammarkkullens Folkets Hus,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer",FHP-enkät
Haninge Folkets Husförening u p a,,1970-,I lokalen Haninge Folkets Hus,"protokoll, korrespondens, räkenskakper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",FHP-enkät jfr Handens Folkets Hus och Vendelsö
Heby Folkets Hus och Park u p a,,,I lokalen,"protokoll, ritningar",FHP-enkät
Hedemora Folkets husförening u p a [Hedemora Folkets Park],,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
"Folkets Hus Föreningen, Hedesunda",,1988-,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser",FHP-enkät
Hennans Byggnadsförening [Ljusdal],,,I lokalen,protokoll,FHP-enkät
Hotings Byggnadsförening u p a,,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar",FHP-enkät
Folkets husstiftelsen Hullsta Gård [Sollefteå],,1965-,A. FA Härnösand B. I lokalen,"A. protokoll B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",FHP-enkät
Huskvarna Folkets Park förening u p a,,,I lokalen,,FHP-enkät
,,,,,
AB Hågelbyparken,,,I lokalen och i kommunarkivet,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer, övrigt",FHP-enkät
Borensbergs byggnadsförening [Hällagården],,1950-tal -,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Föreningen Folkets Hus [Hälleforsnäs],,,I lokalen,"räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Hällvevadsholms Folkets Hus förening u p a,,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Härelokalens Byggnadsförening [Härevadsholm],,,,"protokoll, ritningar",FHP-enkät
Hässelbygårds Folkets husförening,,1995-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, fotografier, affischer, förteckning över studiecirklar, övrigt",FHP-enkät
Folkets Hus Forum [Junsele],,1959,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer, övrigt",FHP-enkät. Kommunalt
Jädraås Byggnadsförening u p a,,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser",FHP-enkät
Föreningen Järva Folkets Park,,1975-,I lokalen Järva Folkets Park,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier, affischer",FHP-enkät
Klinte Bygdegårdsförening Rondo,,,I lokalen i Klintehamn,"protokoll, verksamhetsberättelser, räkenskaper, inventarieförteckning",FHP-enkät
Knislinge Folkets Hus och Parkförening,,,I lokalen,"protokoll, verksamhetsberättelser, räkenskaper",FHP-enkät
Byggnadsförening Folkets Hus och Park ekonomisk förening i Kungälv,okänt,okänt,Kungälvs arbetarekummun,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser",FHP-enkät
Kypasjärvi Folkets Husförening,,1945-,I lokalen Folkets Hus i Kypasjärvi,"protokoll, korrespondens, verksamhetsberättelser, räkenskaper, inventarieförteckningar, ritningar, fotografier, affischer, övrigt",FHP-enkät
Föreningen Folkets Park u p a [Köping],,,I lokalen,"protokoll, korrespondens, verksamhetsberättelser, räkenskaper, inventarieförteckningar, ritningar, fotografier, övrigt",FHP-enkät
Folkets Park i Kalmar ekonomisk förening,,"A. 1992-     , B. 1900-2001",A. I lokalen Folkets Park i Kalmar B. Kalmar läns Folkrörelsearkiv,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer",FHP-enkät jfr Kalmar folketshusförening
Andelsföreningen Folkets Hus i Karlholm u p a,,1927-,I lokalen Folkets Hus i Karlholmsbruk,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer, övrigt",FHP-enkät
Karlsholme Folkparksförening,,,I lokalen Karlsholme Folkpark i Mariestad,"protokoll, verksamhetsberättelser, ritningar, fotografier",FHP-enkät
Katisavans Folkets Husförening [Lycksele],,,I lokalen,"protokoll, verksamhetsberättelser, räkenskaper, inventarieförteckning, ritningar",FHP-enkät
Klavreströms Hus och Park u p a,,1925-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, gästböcker",FHP-enkät
Föreningen Folkets Hus i Kungshamn u p a,,1910-,I lokalen,"protokoll, verksamhetsberättelser, korrespondens, räkenskaper, inventarieförteckningar, ritningar, fotografier",FHP-enkät
Kälarne Folkets Husförening,,1986-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser",FHP-enkät
Köpings Folkets Hus Förening,,1930-,I lokalen,"protokoll, korrespondens, räkenskaper, ritningar",FHP-enkät
Lakene Folkets Husförening,,1919-1970,Värmland/Dals regionsarkiv,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser",FHP-enkät
Föreningen Folkets Park i Landsbro u p a,,,"I lokalen, B-salen","protokoll, verksamhetsberättelser, ritningar",FHP-enkät
Lansjärv Folkets husförening,,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier",FHP-enkät
Lantjärvs Folekts Hus Förening,,1947-,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar",FHP-enkät
Folkets Hus i Lilla Edet ek. förening,,,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning",FHP-enkät
Föreningen Folkets Hus i Lindesberg u p a,,1908-,I lokalen och på Folkrörelsearkivet i Örebro,"protokoll, räkenskaper, korrespondens, verksamhetsberättelser, inventarieförteckningar, fotografier, affischer, övrigt","FHP-enkät, FA"
Föreningen Folekts Hus i Lindås u p a,,A. 1909-,A. Vissefjärda arkivförening och ARAB,"A. protokoll, räkenskaper, verksamhetsberättelser",A. FHP-enkät B. ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling]
Liseberg,,,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer, övrigt",FHP-enkät
Ljungaverks Folkets Husförening upa,,,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer",FHP-enkät
Lycksele Medborgarhusförening u p a,,1952-,I lokalen samt på folkrörelsearkivet i Umeå,"protokoll, verksamhetsberättelser, ritningar, fotografier",FHP-enkät
"Föreningen Folkets Hus, Långshyttan",,1907-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier",FHP-enkät
Läckeby Folkets Hus,,A. 1930-1995,A. I lokalen,"A. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar","A. FHP-enkät B. ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment"
Holma Folkets Husförening [Malmö],,,I lokalen,"protokoll, korrespondens, verksamhetsberättelser, inventarieförteckningar, fotografier",
Malungs Folkets Hus förening,,,I lokalen,"protokoll, verksamhetsberättelser, övrigt",FHP-enkät
Folkets Hus och Park i Mjölby,,,Föreningsarkivet i Mjölby samt i lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer",
Motettens Folkets Husförening [Malmö],,1979-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser",FHP-enkät
Munkedals Folkets Husförening,,1908-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier",FHP-enkät
Folkets Hus Målerås,,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser",FHP-enkät
Målilla Byggnadsförening u p a,,1924-,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotogfafier",FHP-enkät
Föreningen Folekts Hus u p a [Nyborg],okänt,1920-talet -,Folkröresernas arkiv i Norrbotten samt i lokalen,protokoll,FHP-enkät
Nyhammar Folkets Hus och Park,,1918-,I lokalen,"protokoll, ritningar, affischer",FHP-enkät
Nykvarns Folkets husförening,,1983-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar",FHP-enkät
Folkets Park Skeer [Orsa],,1923-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer, bandinspelningar med intervjuer, föremål",Konstverk med Skeers historia målad av Mårten Andersson 1984 Bandade intervjuer med pionjärer
"Osby Folkets hus och parkförening ""Grottebacken""",,,Osby kommunarkiv,"protokoll, verksamhetsberättelser, ritningar",FHP-enkät
Folkets Hus [Otterbäcken],,1925-,I lokalen,"protokoll, räkenskaper, ritningar, fotografier",FHP-enkät
Folkets Hus [Oxelösund],,1957-,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotografier",FHP-enkät. Häri även historik och fotografier
Parakka Folkets husförening u p a,okänt,okänt,privat förvaring hos f d ordförande,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, övrigt",
Pershyttans Folkets husförening,,,I lokalen och på FA i Örebro,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier","FHP-enkät, FA-Örebro"
Pilgrimstad Folketshus förening,,1987-,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Byggnadsföreningen Rejmyre Folkets Hus,okänt,okänt,I lokalen,"protokoll, korrespondens, räkenskaepr, verksamhetsberättelser",FHP-enkät
Rinkabyholm/Hossmo Folkets Hus förening,,1987-,Kalmar läns folkrörelsearkiv,"protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät
Rinkeby Folkets Husförening,,1981-,Rinkebyarkivet och i lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer",FHP-enkät
Byggnadsföreningen för Folkets Hus i Rolfstorp u p a,,1934-,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",FHP-enkät
Byggnadsföreningen Rydaholms Folkets Park u p a,,,I bank,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, affischer",FHP-enkät
Rågsved Folkets Hus förening,,,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotogfrafier, affischer, övrigt",FHP-enkät
Föreningen Folkets Hus i Röfors u p a,A. okänt B. fragment,A. 1924-1978,A. I lokalen B. ARAB,"A. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer, övrigt B. klipp",FHP-enkät ARAB: Folkets husföreningar vol 2 [samling] klipp
,,,,,
Byggnadsföreningen Hemgården u p a [Rönninge FH],okänt,1919-,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritnignar",FHP-enkät
Sala Nya Folkets husförening u p a,,,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar",FHP-enkät
Sala Folkets Park och Hus förening u p a  [Salaparken],,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar",FHP-enkät
Sandvikens Folkets husförening,,,I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",FHP-enkät
Sangis Folkets husförening u p a,,,I lokalen,"protokoll, räkenskaper, verksamhetsberättelser",FHP-enkät
Saxdalens Folkets husförening,,1961-,,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, affischer",FHP-enkät
